timestamp,temperature,humidity,voltage,cpu_utilization,memory_usage,packet_rate,label,attack_type
2026-08-17T11:00:00Z,23.5,50.0,3.30,8.5,22.0,5,BENIGN,None
2026-08-17T11:00:05Z,23.6,50.1,3.30,9.0,22.1,6,BENIGN,None
2026-08-17T11:00:10Z,23.5,49.9,3.31,8.8,22.0,5,BENIGN,None
2026-08-17T11:00:15Z,24.0,49.5,3.28,35.0,38.0,120,MALICIOUS,DDoS_UDP_Flood
2026-08-17T11:00:20Z,28.5,48.0,3.12,88.5,75.0,380,MALICIOUS,DDoS_UDP_Flood
2026-08-17T11:00:25Z,35.0,46.2,2.98,99.0,92.0,650,MALICIOUS,DDoS_SYN_Flood
2026-08-17T11:00:30Z,39.5,45.0,2.85,100.0,96.5,820,MALICIOUS,DDoS_ACK_Flood
2026-08-17T11:00:35Z,41.0,44.5,2.80,100.0,98.0,950,MALICIOUS,DDoS_HTTP_Flood
2026-08-17T11:00:40Z,24.1,49.8,3.29,10.2,23.5,8,BENIGN,None
2026-08-17T11:00:45Z,23.7,50.0,3.30,9.1,22.4,6,BENIGN,None
