timestamp,temperature,humidity,voltage,cpu_utilization,memory_usage,packet_rate,label,attack_type
2026-08-17T10:00:00Z,24.2,45.1,3.30,12.5,28.0,10,BENIGN,None
2026-08-17T10:00:05Z,24.4,45.0,3.31,13.0,28.2,12,BENIGN,None
2026-08-17T10:00:10Z,24.3,45.2,3.29,12.8,28.1,11,BENIGN,None
2026-08-17T10:00:15Z,24.5,44.9,3.30,14.2,28.5,14,BENIGN,None
2026-08-17T10:00:20Z,24.6,45.0,3.30,15.1,28.9,15,BENIGN,None
2026-08-17T10:00:25Z,24.3,45.3,3.31,13.4,28.0,11,BENIGN,None
2026-08-17T10:00:30Z,24.5,45.1,3.30,12.9,28.4,12,BENIGN,None
2026-08-17T10:00:35Z,24.7,44.8,3.29,14.5,28.6,13,BENIGN,None
2026-08-17T10:00:40Z,24.4,45.0,3.30,13.8,28.2,10,BENIGN,None
2026-08-17T10:00:45Z,24.8,45.2,3.31,15.0,28.7,14,BENIGN,None
2026-08-17T10:00:50Z,24.2,45.0,3.30,13.1,28.1,12,BENIGN,None
2026-08-17T10:00:55Z,24.5,44.9,3.29,14.0,28.3,13,BENIGN,None
2026-08-17T10:01:00Z,26.5,44.3,3.26,45.0,41.5,82,MALICIOUS,PortScan
2026-08-17T10:01:05Z,27.8,43.8,3.23,52.4,45.2,110,MALICIOUS,PortScan
2026-08-17T10:01:10Z,29.1,43.2,3.20,58.6,48.0,135,MALICIOUS,PortScan
2026-08-17T10:01:15Z,30.4,42.7,3.17,64.2,52.1,155,MALICIOUS,PortScan
2026-08-17T10:01:20Z,31.8,42.1,3.14,68.9,56.4,175,MALICIOUS,PortScan
2026-08-17T10:01:25Z,33.0,41.6,3.11,74.5,60.2,195,MALICIOUS,PortScan
2026-08-17T10:01:30Z,35.2,40.9,3.08,79.2,65.8,220,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:01:35Z,37.1,40.3,3.04,83.4,70.5,250,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:01:40Z,38.8,39.7,3.01,87.0,75.2,280,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:01:45Z,40.2,39.1,2.98,90.5,80.1,310,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:01:50Z,41.9,38.6,2.95,93.2,84.6,345,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:01:55Z,43.5,38.0,2.92,95.4,88.2,380,MALICIOUS,Mirai_Botnet_Recon
2026-08-17T10:02:00Z,45.0,37.4,2.89,97.1,91.0,415,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:05Z,46.2,36.9,2.86,98.0,93.2,450,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:10Z,47.4,36.4,2.83,98.8,94.5,475,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:15Z,48.5,35.8,2.80,99.2,95.8,500,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:20Z,49.2,35.3,2.78,99.5,96.4,520,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:25Z,50.1,34.9,2.75,99.8,97.1,540,MALICIOUS,Mirai_BruteForce
2026-08-17T10:02:30Z,51.0,34.4,2.72,100.0,98.0,560,MALICIOUS,Mirai_C2_Infection
2026-08-17T10:02:35Z,51.8,34.0,2.70,100.0,98.5,575,MALICIOUS,Mirai_C2_Infection
2026-08-17T10:02:40Z,52.3,33.7,2.68,100.0,99.0,590,MALICIOUS,Mirai_C2_Infection
2026-08-17T10:02:45Z,52.8,33.5,2.65,100.0,99.2,600,MALICIOUS,Mirai_C2_Infection
2026-08-17T10:02:50Z,24.8,44.9,3.29,14.5,28.8,13,BENIGN,None
2026-08-17T10:02:55Z,24.6,45.0,3.30,13.8,28.4,12,BENIGN,None
2026-08-17T10:03:00Z,24.4,45.2,3.30,13.2,28.1,11,BENIGN,None
2026-08-17T10:03:05Z,24.3,45.1,3.31,12.9,28.0,10,BENIGN,None
2026-08-17T10:03:10Z,24.5,45.0,3.30,13.5,28.3,12,BENIGN,None
2026-08-17T10:03:15Z,24.7,44.8,3.29,14.1,28.5,14,BENIGN,None
2026-08-17T10:03:20Z,24.4,45.0,3.30,13.0,28.2,11,BENIGN,None
2026-08-17T10:03:25Z,24.2,45.2,3.31,12.6,28.0,10,BENIGN,None
